 stats_models sklearn
Intercept -1392.5930726272557 -2375.5999474229666
J1 107.57564718374749 -1.647338904664642
J2 -14.56611902566965 -14.566119025667703
J3 -274.6820934674901 -1.6246282464605448
J4 5.96456746618702 5.964567466187358
J5 215.1512943674948 -3.2946778093292846
J6 546.1376411002665 0.022710658204085465
J7 -274.6820934674903 -1.6246282464605448
J8 -928.395381751504 -3.3320169250470196e-30
