#x y z nm f-type a-type g-type
0.0 0.0 0.0 0 1 1 1
0.0 0.0 2.8665 0 1 1 1
0.0 0.0 5.733 0 1 1 1
0.0 0.0 8.599499999999999 0 1 1 1
14.3325 8.599499999999999 11.466000000000001 0 1 1 1
14.3325 8.599499999999999 2.866500000000001 0 1 1 1
14.3325 8.599499999999999 5.733000000000001 0 1 1 1
14.3325 8.599499999999999 8.5995 0 1 1 1
17.198999999999998 5.733 11.466000000000001 0 1 1 1
17.198999999999998 5.733 2.866500000000001 0 1 1 1
17.198999999999998 5.733 5.733000000000001 0 1 1 1
17.198999999999998 5.733 8.5995 0 1 1 1
8.599499999999999 -8.599499999999999 11.466 0 1 1 1
8.599499999999999 -8.599499999999999 2.8665 0 1 1 1
8.599499999999999 -8.599499999999999 5.733 0 1 1 1
8.599499999999999 -8.599499999999999 8.599499999999999 0 1 1 1
2.8665000000000003 2.8665 3.5104500497558877e-16 0 1 1 1
2.8665000000000003 2.8665 2.8665000000000003 0 1 1 1
2.8665000000000003 2.8665 5.732999999999999 0 1 1 1
2.8665000000000003 2.8665 8.599499999999999 0 1 1 1
5.732999999999999 -4.440892098500626e-16 11.466 0 1 1 1
5.732999999999999 -4.440892098500626e-16 2.8665000000000003 0 1 1 1
5.732999999999999 -4.440892098500626e-16 5.732999999999999 0 1 1 1
5.732999999999999 -4.440892098500626e-16 8.599499999999999 0 1 1 1
8.599499999999999 -2.8665000000000003 11.466 0 1 1 1
8.599499999999999 -2.8665000000000003 2.8665000000000003 0 1 1 1
8.599499999999999 -2.8665000000000003 5.732999999999999 0 1 1 1
8.599499999999999 -2.8665000000000003 8.599499999999999 0 1 1 1
11.466 -5.732999999999999 11.466 0 1 1 1
11.466 -5.732999999999999 2.8665000000000003 0 1 1 1
11.466 -5.732999999999999 5.732999999999999 0 1 1 1
11.466 -5.732999999999999 8.599499999999999 0 1 1 1
5.7330000000000005 5.733 7.020900099511775e-16 0 1 1 1
5.7330000000000005 5.733 2.8665000000000007 0 1 1 1
5.7330000000000005 5.733 5.7330000000000005 0 1 1 1
5.7330000000000005 5.733 8.599499999999999 0 1 1 1
8.599499999999999 2.8664999999999994 7.020900099511774e-16 0 1 1 1
8.599499999999999 2.8664999999999994 2.8665000000000007 0 1 1 1
