T	<M>	M_Var	<M^2>	M^2_Var	<E>	E_Var	<E^2>	E^2_Var	X	C_v
1	537.924	0	289362	0	-6910	0	4.77481e+07	0	0	0
1.5	537.924	0	289362	0	-6910	0	4.77481e+07	0	0	0
2	537.924	3.99996e-05	289362	46.1255	-6910	0.0159998	4.77481e+07	3.03818e+06	0.00999906	8e-06
2.5	537.924	0.000213322	289362	245.992	-6910	0.0853288	4.77481e+07	1.62029e+07	0.0426647	2.73054e-05
3	537.922	0.00339711	289360	3917.38	-6909.97	1.35884	4.77476e+07	2.58029e+08	0.566184	0.000301967
3.5	537.914	0.0208381	289351	24028.5	-6919.66	9.7057	4.78816e+07	1.84927e+09	2.97688	0.00158461
4	537.879	0.091111	289313	105045	-6954.5	440.77	4.83655e+07	8.50751e+10	11.3889	0.0550965
4.5	537.787	0.276472	289215	318636	-7187.63	6751.46	5.16687e+07	1.39039e+12	30.7192	0.666813
5	537.582	0.695484	288995	800871	-8313.4	300054	6.94126e+07	8.22454e+13	69.5486	24.0044
5.5	537.208	1.4761	288594	1.69723e+06	-12006.6	2.52363e+06	1.46682e+08	1.43732e+15	134.192	166.852
6	536.587	2.79908	287929	3.21062e+06	-22736.4	2.12459e+07	5.38191e+08	4.42512e+16	233.258	1180.33
6.5	535.658	4.85887	286934	5.55298e+06	-50647.4	1.32748e+08	2.69791e+09	1.37416e+18	373.76	6283.97
7	534.308	7.92239	285493	9.00654e+06	-113937	6.16992e+08	1.35986e+10	3.23114e+19	565.887	25183.4
7.5	532.514	12.2291	283584	1.38049e+07	-245078	2.55704e+09	6.26203e+10	6.205e+20	815.273	90917.2
8	530.092	18.4847	281016	2.0667e+07	-494424	8.46434e+09	2.52919e+11	8.31335e+21	1155.3	264511
8.5	527.05	26.8991	277808	2.97155e+07	-937189	2.66276e+10	9.0495e+11	9.43408e+22	1582.3	737099
9	523.185	37.9084	273761	4.1245e+07	-1.68685e+06	7.22012e+10	2.91766e+12	8.27557e+23	2106.03	1.78275e+06
9.5	518.462	53.5002	268856	5.70969e+07	-2.88726e+06	1.75547e+11	8.5118e+12	5.88262e+24	2815.81	3.89024e+06
10	512.72	74.2567	262956	7.74292e+07	-4.7379e+06	4.08127e+11	2.28558e+13	3.67806e+25	3712.85	8.16257e+06
10.5	505.748	102.209	255883	1.03555e+08	-7.50181e+06	8.93068e+11	5.71702e+13	2.01662e+26	4867.09	1.62008e+07
11	497.342	141.585	247491	1.38412e+08	-1.15104e+07	1.823e+12	1.34313e+14	9.68274e+26	6435.72	3.01324e+07
11.5	487.293	197.368	237652	1.84583e+08	-1.7215e+07	3.68738e+12	3.00045e+14	4.38325e+27	8581.24	5.57639e+07
12	475.164	278.575	226059	2.46431e+08	-2.51968e+07	7.03177e+12	6.41911e+14	1.78949e+28	11607.3	9.76638e+07
12.5	460.28	400.393	212258	3.30412e+08	-3.61412e+07	1.31183e+13	1.3193e+15	6.87097e+28	16015.8	1.67914e+08
13	3.1594	162395	162406	1.32175e+09	-5.10534e+07	2.41637e+13	2.63061e+15	2.52396e+29	6.24599e+06	2.85962e+08
13.5	72.9412	144135	149456	1.40495e+09	-7.11537e+07	4.37261e+13	5.10658e+15	8.87178e+29	5.33836e+06	4.79849e+08
14	95.4267	118850	127957	1.6161e+09	-9.83599e+07	8.00366e+13	9.7547e+15	3.10123e+30	4.24466e+06	8.16703e+08
14.5	37.687	92594.9	94015.5	1.82341e+09	-1.35161e+08	1.46646e+14	1.8415e+16	1.07363e+31	3.19294e+06	1.39497e+09
15	45.7585	60359.5	62453.5	1.69997e+09	-1.83992e+08	2.50309e+14	3.41035e+16	3.39201e+31	2.01199e+06	2.22498e+09
15.5	41.3645	35198.3	36909.5	1.11108e+09	-2.44289e+08	3.54615e+14	6.00316e+16	8.47319e+31	1.13543e+06	2.95206e+09
16	40.1219	21093.2	22703	6.04789e+08	-3.13039e+08	4.25489e+14	9.84186e+16	1.66928e+32	659164	3.32414e+09
16.5	39.626	13593.3	15163.6	3.35765e+08	-3.86783e+08	4.6963e+14	1.50071e+17	2.81193e+32	411921	3.45e+09
17	37.7741	9558.31	10985.2	1.99663e+08	-4.63215e+08	4.9252e+14	2.15061e+17	4.22961e+32	281128	3.40845e+09
17.5	38.0769	7308.79	8758.66	1.34343e+08	-5.41119e+08	5.04398e+14	2.93315e+17	5.91007e+32	208823	3.29404e+09
18	37.6556	5785.11	7203.08	9.25184e+07	-6.1967e+08	5.09104e+14	3.845e+17	7.82202e+32	160698	3.14263e+09
18.5	37.2435	4856.49	6243.59	7.02949e+07	-6.98537e+08	5.12703e+14	4.88466e+17	1.0009e+33	131257	2.99609e+09
19	37.6802	4189.07	5608.88	5.6185e+07	-7.77448e+08	5.12612e+14	6.04938e+17	1.23952e+33	110239	2.83996e+09
19.5	37.413	3635.51	5035.25	4.53746e+07	-8.56223e+08	5.08111e+14	7.33626e+17	1.49016e+33	93218.4	2.67252e+09
20	38.3485	3263.11	4733.73	3.93692e+07	-9.34601e+08	5.03259e+14	8.73982e+17	1.75855e+33	81578.1	2.5163e+09
